Especie,Latitud,Longitud,Fecha,Tamaño,Peso,Profundidad,Temperatura del agua,Salinidad,Oxígeno disuelto,Clorofila,Tipo de fondo marino,Presencia de depredadores,Dieta principal,Tipo de hábitat,Migratorio,Velocidad de nado,Color predominante,Tipo de agua,Método de avistamiento,Sexo,Edad estimada,Estado de conservación,Número de aletas,Presencia de parásitos,Dieta reciente
Pez Payaso,-36.19853945243338,135.74684939782276,2023-05-23,96.96585325651796,32.20010823196871,215.14119957618823,9.161294615423586,36.23771602308469,9.060439363745346,2.7519776764358905,coral,sí,plancton,pelágico,sí,10.090013842919362,gris,dulce,sonar,femenino,21,no amenazado,2,no,algas
Salmón,-45.64779113766904,-120.4959588892999,2023-04-20,71.9000222191224,11.425374011769518,408.8332885947548,23.28383722886741,31.513124654874193,6.270808337770519,0.4720596077639788,lodo,no,moluscos,profundo,no,19.35248088250206,rojo,salobre,sonar,femenino,21,no amenazado,5,no,plancton
Pez Payaso,-48.654004706852874,141.57688155037135,2023-05-22,43.04708312916644,10.046697874281337,204.51498149645028,21.228346223341916,33.131040602306804,6.674955798478404,2.1311847105567767,arena,sí,moluscos,pelágico,no,6.032831033312619,amarillo,salobre,visual,indeterminado,6,crítico,6,no,plancton
Salmón,-17.530714339998376,-39.58644674617557,2022-08-28,54.26165739368596,21.36628095881376,457.8023480176135,12.819520404754604,37.56388284328034,3.2106425417867905,0.8643263337802379,arena,sí,peces pequeños,pelágico,sí,15.925604352588373,gris,salobre,red,indeterminado,31,en peligro,5,no,algas
Pez Espada,-42.60527055151346,123.76676469811713,2023-05-06,20.095011863449827,3.4203363255461645,421.42686128603975,18.77904921269823,33.44657151710843,8.431884770611148,1.5429540897633003,lodo,sí,moluscos,pelágico,no,11.25307779684902,amarillo,salobre,visual,femenino,32,en peligro,2,sí,moluscos
Salmón,30.376995254111463,4.517250630394699,2022-09-07,176.49589660142013,45.89002739507676,97.17606464840341,25.734623872459913,39.259332797798386,6.251779216831655,1.3491884549695343,lodo,no,plancton,pelágico,no,12.923010549762024,amarillo,salobre,red,femenino,29,vulnerable,2,sí,algas
Salmón,49.731952716174604,130.39508583465835,2022-09-16,157.69251108179873,47.03539012672691,78.70293925616092,25.978617519360256,34.06776838205221,2.7083251630777987,1.503663906040418,arena,sí,crustáceos,profundo,sí,5.449179407632918,azul,dulce,sonar,masculino,8,crítico,7,no,crustáceos
Salmón,-43.86961782655359,58.61666430727186,2023-03-12,59.36283718741215,22.685908141364703,122.67717069686431,21.359422698739646,32.197599394108494,7.607349214415246,2.311562453416518,arena,sí,peces pequeños,pelágico,no,21.875802969537745,gris,salada,sonar,femenino,42,crítico,4,no,algas
Pez Espada,-6.727372406656038,3.1378106220365964,2022-11-13,20.430216307190957,10.857350399732324,180.4812647357257,8.1013346832251,32.10118709502717,5.911471136843164,0.15351972481831985,coral,no,plancton,profundo,sí,17.36050214146979,amarillo,dulce,sonar,indeterminado,27,crítico,4,no,moluscos
Bacalao,-47.426787701742526,-67.48609211988163,2023-01-14,108.58093487516705,23.793442434897905,292.15680369977747,9.07250586750477,36.872147890702934,4.677282113432618,1.0545986727695857,lodo,sí,plancton,pelágico,sí,10.525776275112783,amarillo,salada,visual,indeterminado,7,vulnerable,7,no,peces pequeños
Salmón,-36.60091092427368,168.8072715427159,2023-06-23,94.2631758767127,5.446692901476005,62.916669378327086,12.291830040568867,33.68151827391602,9.372653489093327,1.086834144757962,lodo,sí,peces pequeños,arrecife,no,9.476724480816305,rojo,salobre,sonar,indeterminado,41,en peligro,2,sí,peces pequeños
Bacalao,-17.707743908932592,108.32315675991038,2023-01-18,159.68119184157055,20.19096716596155,266.488600796248,21.76786847610389,32.37251944223537,8.570224265574325,0.37475603348134834,roca,sí,crustáceos,profundo,no,1.9045994933273434,amarillo,dulce,sonar,masculino,28,vulnerable,3,no,crustáceos
Tiburón Blanco,-10.630178694235013,-42.772613337985916,2023-07-28,92.52119120555321,4.146444659966416,290.80584302255664,11.450096739974509,36.93866411033881,2.342354773657277,0.13098714848206602,roca,no,peces pequeños,arrecife,no,10.168802224941476,verde,salobre,visual,indeterminado,1,vulnerable,5,sí,algas
Pez Payaso,43.978294642864014,-119.97950649874342,2023-02-25,175.5403053542765,35.455202322264675,330.78423104574125,16.610812094684157,34.21397525439276,7.5890251489390685,2.185141159094976,lodo,sí,peces pequeños,pelágico,no,6.062811584319882,rojo,salobre,visual,femenino,13,en peligro,2,no,crustáceos
Bacalao,-10.416319124310412,100.63275069358576,2022-11-13,37.25088123174551,14.147820730481044,275.49593313668083,25.638141004170134,38.45992635226795,3.3770775572767624,2.6599220783317037,coral,no,plancton,pelágico,sí,21.118429813230325,verde,salobre,red,masculino,31,crítico,3,sí,moluscos
Tiburón Blanco,-0.37223409425978105,176.3799436119312,2023-07-29,85.85445552545865,26.272644420393938,412.76066355324076,27.29434374904347,35.489781809477805,2.1334281059096583,1.001772724079899,arena,sí,moluscos,profundo,no,7.768653086280348,azul,dulce,sonar,femenino,19,no amenazado,6,no,algas
Pez Payaso,-25.44166317261336,-79.56901663471005,2023-04-24,188.1093617603715,1.1701978398818953,321.15363018317646,25.963634130012593,39.72176509092283,3.7491170302919867,1.99377809102125,arena,no,peces pequeños,pelágico,sí,14.76094120030628,amarillo,salada,visual,masculino,20,vulnerable,4,sí,moluscos
Salmón,-49.98748612434245,149.7107060405985,2023-07-09,22.111332018838183,26.469504888898904,462.351222484912,7.910967106496376,33.744543448764524,2.382037969957861,2.985914001527607,lodo,no,peces pequeños,profundo,sí,16.377233994580372,gris,salada,sonar,indeterminado,17,en peligro,4,no,peces pequeños
Salmón,39.933445673313514,-134.86654598834872,2022-09-07,90.34209632124643,0.6617629192228176,350.76112587151306,27.76885287884328,32.821043886362425,7.1058788865635965,0.5762950010962755,coral,no,moluscos,arrecife,no,15.49036870522237,azul,dulce,red,masculino,2,no amenazado,5,sí,moluscos
Salmón,-41.82852429636952,162.7942515306675,2023-08-01,66.74658681197556,46.29701267269869,218.61899820902795,22.103467984324485,36.44553070938241,8.059640078253807,0.9023224719976545,lodo,no,peces pequeños,costero,sí,15.704520979141476,gris,salobre,visual,masculino,14,no amenazado,6,sí,crustáceos
Pez Espada,46.424884103622915,88.32200847950281,2023-03-13,115.73493003975406,25.307315733175244,105.63260483591357,20.46966495866879,37.08364550835287,3.4251686007089592,2.4723676410952904,coral,sí,peces pequeños,profundo,no,19.79015191051757,verde,salada,visual,femenino,16,vulnerable,3,no,plancton
Pez Espada,-36.915589589973976,-55.22535746506675,2023-06-19,70.17802405015304,5.453291542987427,6.249833463035733,11.188627559727758,30.169684732168747,3.6748111329656625,0.10949683942741976,lodo,sí,peces pequeños,pelágico,no,11.337559248851747,amarillo,salobre,red,femenino,45,vulnerable,3,sí,plancton
Pez Espada,10.487848075044027,-70.33254397335581,2023-03-16,176.58344818306503,17.382211916167677,46.11101595207187,28.205696728985917,36.69383146101316,3.072498057098672,1.8187705634169924,lodo,sí,crustáceos,pelágico,no,4.315505081847792,gris,salobre,sonar,femenino,39,vulnerable,4,no,algas
Pez Espada,49.9410587856637,51.63672741816646,2022-12-23,188.68488551358936,2.7803231048328403,95.64819477491206,5.434026660175871,31.810211066191634,6.498938290026724,1.4862731543999692,coral,sí,peces pequeños,profundo,no,12.62323518183845,verde,salada,sonar,masculino,5,vulnerable,5,sí,crustáceos
Tiburón Blanco,-36.153540393032415,33.662570493131994,2023-03-10,172.8441734733093,26.77932392407463,109.00423484457352,7.054650336476563,39.58862988540666,5.914693494713139,2.190091017341057,arena,sí,peces pequeños,pelágico,sí,0.852549704540474,gris,salada,red,masculino,41,vulnerable,2,no,peces pequeños
Tiburón Blanco,-7.605691506017578,150.81721253772713,2022-11-07,91.74221214103088,6.555989184695863,371.27999659387984,8.841864425184284,35.76006766486432,2.0492105919511516,1.6340048948190566,coral,no,crustáceos,profundo,no,18.314483000905188,rojo,dulce,sonar,femenino,46,vulnerable,5,sí,algas
Salmón,28.04236689714766,95.8475283153171,2023-08-17,198.18807779651576,23.918822295085235,193.6418432365175,22.353610819650577,31.266399023369846,4.957058626289192,1.596883331249945,roca,sí,plancton,profundo,sí,2.8522575835810735,verde,salada,visual,femenino,38,en peligro,3,sí,plancton
Pez Payaso,-46.780985015003175,14.531354126613678,2023-05-06,152.3065369923545,15.622640246291015,162.94520165124814,20.57143212322878,30.5271834908671,2.704368525915404,2.1599666707157463,coral,sí,crustáceos,costero,sí,7.4250915874341645,rojo,salada,sonar,indeterminado,33,vulnerable,6,no,peces pequeños
Pez Espada,18.978275114004447,153.92370306227565,2023-07-13,84.00960859315143,38.19837842326163,27.131409344666977,28.61694494169847,38.79603479238712,6.631887368722779,1.6949412511329705,lodo,no,peces pequeños,profundo,no,9.13970048868042,azul,salobre,red,indeterminado,25,en peligro,4,sí,crustáceos
Pez Payaso,-41.96266621092005,33.38302727995875,2023-06-27,36.86470781578311,24.371636494663118,269.7916126150461,13.724542939334826,38.506240048476585,5.790299325382941,2.959847476711326,coral,sí,peces pequeños,profundo,no,21.432890944188227,gris,dulce,red,femenino,31,en peligro,4,no,algas
Tiburón Blanco,-26.34798577267736,125.88654083784382,2023-03-01,140.0683549487112,42.485171897301015,306.8415317889516,13.690418518969365,34.34094995063144,5.671136671780657,2.1241495162828046,coral,no,crustáceos,arrecife,sí,19.345931960636477,verde,salada,red,femenino,21,crítico,4,sí,algas
Pez Espada,-33.99238375066396,122.7393547552283,2023-06-30,151.14213996173032,47.09674475352492,439.05085058667044,21.73835020650703,30.87499983288259,7.881076095196911,2.4398742196651897,lodo,sí,plancton,costero,sí,21.698448624787044,azul,salobre,red,masculino,3,no amenazado,3,no,peces pequeños
Tiburón Blanco,40.73364316469362,150.91014922183302,2023-04-05,42.04264391992298,48.491480978717135,251.91818637127304,9.3539303291389,33.89982417947831,5.6749472639793535,1.3253608947931401,arena,sí,moluscos,costero,sí,24.84612548315855,azul,salada,visual,indeterminado,37,crítico,6,no,plancton
Tiburón Blanco,-31.954328321831916,-155.66326873952235,2022-11-04,118.95254332332641,13.379719448534527,4.852360485218698,16.60106598647367,37.605295359578676,5.889446845796161,2.8782706156474562,arena,sí,moluscos,profundo,sí,14.404452559038846,azul,dulce,red,indeterminado,14,crítico,6,sí,algas
Bacalao,-45.95659044848428,30.17508046083998,2022-11-12,197.67583712968766,38.494650155168074,33.574100121177,5.385831226171024,36.61494077896006,7.06105824723798,1.4004782748627744,arena,no,plancton,pelágico,sí,4.05524655596519,amarillo,salobre,sonar,femenino,1,no amenazado,7,sí,moluscos
Tiburón Blanco,8.762567844776214,-11.378667178422319,2023-07-29,78.72357844984464,22.1864856045827,136.2316641550409,19.800987681797718,38.65165239795593,4.410845219802859,1.1037713441377544,lodo,sí,moluscos,arrecife,no,12.688957036706872,rojo,salada,red,indeterminado,45,en peligro,4,sí,plancton
Salmón,-15.381907459029797,-3.404741952717899,2023-03-24,74.34110403791549,21.595571238862984,70.45360621082813,24.59975985781998,37.51192129490991,9.49922676938262,2.8240670281409357,roca,no,crustáceos,pelágico,no,21.358054798251647,rojo,dulce,sonar,indeterminado,42,vulnerable,7,sí,moluscos
Tiburón Blanco,-9.429377935863357,-14.432182696726983,2022-10-07,182.5943898967336,43.47740550500789,385.52311716060893,10.093858246331731,33.30134837966077,4.251824547838374,1.1934938532589372,coral,no,peces pequeños,pelágico,sí,7.776899262412779,verde,dulce,red,masculino,34,vulnerable,4,no,algas
Pez Espada,-38.0937255137453,121.48800819204274,2023-02-21,41.13488803971001,7.710610710143954,54.820633580331915,12.679266552030285,33.41133202291824,9.310205413122556,1.1602576028639922,coral,no,peces pequeños,arrecife,no,14.619169886599972,azul,salada,visual,masculino,41,crítico,7,no,moluscos
Salmón,24.82344914331945,-65.36415692990202,2022-08-19,188.03495060754207,24.151610243824912,81.23095788644312,8.295983021963831,36.477552972897044,8.5094526368501,1.7134737584207307,lodo,no,peces pequeños,arrecife,sí,4.318139140455031,gris,salada,red,femenino,38,no amenazado,7,no,moluscos
Tiburón Blanco,10.155364964351797,-13.409610613279767,2022-11-06,160.3076708492281,29.84772036583412,333.7268944755956,20.39186277721641,33.10172689529362,9.249970957199775,2.5633939177035194,roca,no,moluscos,costero,no,4.286041586507422,rojo,dulce,visual,femenino,35,en peligro,6,sí,crustáceos
Salmón,-13.578295525172003,-107.75428455560916,2022-09-26,90.35127360792556,3.7731096403322915,120.57455587900473,19.100513237194264,38.67660097264135,3.46623112462946,1.0573244145035516,roca,sí,plancton,pelágico,no,15.259854284103442,verde,salobre,red,indeterminado,4,no amenazado,2,sí,peces pequeños
Tiburón Blanco,-32.84250562368641,-89.3820182670955,2023-02-17,35.0385716633873,43.29345558264198,484.5714144933765,25.659904384546603,33.27701822383234,3.8501112274711335,2.505562729134424,coral,sí,crustáceos,profundo,sí,23.646180776376116,verde,dulce,sonar,indeterminado,10,no amenazado,4,sí,moluscos
Salmón,9.345173917056037,57.751230003795,2023-04-07,23.451417425681207,16.059785865489186,431.73066123787913,29.258592649346955,34.88933012317568,8.78254702302193,0.5726185277301944,roca,sí,peces pequeños,arrecife,no,6.853049706965092,verde,salobre,sonar,indeterminado,4,en peligro,4,no,crustáceos
Pez Payaso,27.859727950737735,-137.9030622297617,2022-08-26,87.64961535880055,33.01257254560896,372.5255457073925,29.59108959353043,30.43227586176647,9.65737878438457,0.6004920010452311,arena,sí,crustáceos,pelágico,sí,17.234503841827383,azul,dulce,sonar,femenino,2,crítico,5,no,crustáceos
Bacalao,-18.76027161328051,-112.38414804191616,2022-10-13,146.963645205832,46.43996007897722,172.225097690073,7.679194142796179,31.1809043898044,8.025671661254185,1.4077056897400484,lodo,sí,moluscos,costero,no,19.70233296031867,gris,dulce,sonar,indeterminado,47,crítico,7,no,plancton
Salmón,-47.413961646140294,10.092441445673074,2023-07-23,107.75525842440238,36.12785860536964,29.333207176843366,18.828412775547708,31.31895925796467,7.104041369160484,0.863584740407827,arena,sí,crustáceos,pelágico,sí,6.83338563721702,amarillo,salada,sonar,masculino,10,no amenazado,4,no,algas
Pez Espada,-28.5656015247016,-164.24170993331512,2022-08-24,152.9573407059062,44.35752147059258,168.86407818447512,24.741368231420413,33.441305048711364,8.475245635584628,1.5046768332818752,lodo,sí,crustáceos,profundo,sí,6.402051594439623,rojo,salada,red,femenino,35,vulnerable,6,sí,peces pequeños
Bacalao,18.239781889282924,-134.30628020865905,2023-06-03,140.7027527706997,3.9424617694257034,188.9882002127654,21.474577013169746,31.16626184167054,2.332777464201679,0.13617424263507444,lodo,no,peces pequeños,profundo,no,20.206184748847857,rojo,dulce,sonar,femenino,47,crítico,6,no,peces pequeños
Bacalao,48.909637745692265,130.8070580280296,2022-11-07,123.12329408630595,24.89036636699646,64.58897264056739,27.424668063473803,34.571080787677246,8.834738759594483,0.9025094839060097,coral,no,peces pequeños,arrecife,sí,2.236065944578374,verde,dulce,visual,masculino,38,no amenazado,2,sí,plancton
Tiburón Blanco,-48.662376059122344,124.61283568619848,2023-08-18,194.1498345304738,28.459190221408377,61.199761358570896,16.042979697321986,32.691549566745145,4.249020590780376,2.8478713416578647,coral,no,plancton,costero,sí,8.475505067762642,verde,dulce,visual,femenino,10,vulnerable,6,sí,crustáceos
Salmón,-19.384643786789923,-54.80060218308641,2022-08-30,151.1091981836246,34.60742459139101,334.38605667405767,15.677426829518094,32.72456286480242,2.4532504330543903,2.649876238773509,lodo,no,moluscos,profundo,sí,13.327688181149135,azul,salobre,visual,indeterminado,44,vulnerable,2,no,peces pequeños
Bacalao,-43.79791295511612,-54.7231264879736,2023-05-05,184.6304208526596,6.284483570973911,116.96881032115506,5.652813554975895,34.45501359750101,7.452784056729227,0.18326679428057396,arena,no,moluscos,arrecife,sí,7.093179205361647,rojo,salada,red,femenino,30,en peligro,6,sí,peces pequeños
Pez Espada,-18.365071223696784,157.14556173504133,2023-04-27,63.588901577605114,33.01106936268649,339.3273416392083,5.391245327690642,38.53839650887356,8.022285126722295,2.432566987446132,coral,sí,crustáceos,costero,no,2.9986377999252167,azul,dulce,sonar,indeterminado,10,no amenazado,3,no,algas
Pez Espada,-9.408565687257877,-170.69718993407164,2023-06-09,148.45513281989622,7.726680768036906,274.6023725502192,22.31614929000778,37.61730274725305,7.017463444974344,1.3872381676978789,roca,no,moluscos,profundo,sí,22.488826945394322,azul,dulce,visual,indeterminado,33,vulnerable,7,no,peces pequeños
Pez Espada,42.086209194625496,28.906384710697495,2023-03-06,127.60451541472868,3.846833957026667,450.8304610631733,16.786653663416324,38.837257320221546,4.80111714991966,2.468852823045485,lodo,no,moluscos,profundo,no,11.578645455909086,gris,dulce,visual,femenino,30,vulnerable,2,sí,peces pequeños
Tiburón Blanco,-41.943920059502126,35.06060845466183,2023-07-19,186.37329743099357,23.731300791283285,398.78776897455924,21.505769728609167,39.90175564394243,2.9376454127110927,0.9122893953626341,coral,sí,moluscos,profundo,no,4.512661609927246,amarillo,salobre,visual,indeterminado,2,en peligro,2,sí,peces pequeños
Pez Payaso,27.713405306577002,103.63934418539804,2022-10-24,111.88154317238718,30.218576658075648,76.53464429698344,10.955558271763298,30.111020663416635,8.151924908437469,1.695594106094591,roca,sí,moluscos,arrecife,sí,24.295759419916145,azul,dulce,sonar,femenino,16,en peligro,3,sí,algas
Salmón,-10.446560393703663,162.63018569613627,2022-08-24,70.33544822524729,47.926822573043985,305.47061233393276,26.577306602450406,36.92508080288395,2.3788541070814224,2.959757437109274,arena,sí,plancton,arrecife,sí,22.68168871450828,gris,salada,red,indeterminado,8,en peligro,7,no,plancton
Bacalao,31.12628496669278,-51.90206866439618,2023-03-26,89.27101286813753,35.08195865553933,326.9102479267273,27.57161275775708,31.198295493183352,8.077578565818701,1.0477962637915939,lodo,no,peces pequeños,arrecife,sí,7.236430097343673,rojo,salada,sonar,indeterminado,13,en peligro,2,no,algas
Salmón,1.3402185325621332,-22.379949555839573,2023-05-01,59.38936497672701,29.773842693525197,431.1651941701293,21.557417950584156,39.36823902002908,9.65959568786538,2.665682277728673,roca,no,peces pequeños,pelágico,no,1.4166015779425756,rojo,salobre,sonar,masculino,29,en peligro,2,no,crustáceos
Bacalao,-46.07179611565899,61.66745298726386,2023-08-08,59.59513988987361,11.120962594372944,320.83742455736535,11.945033460867432,32.26845787808736,9.974509997325155,2.6440189871949715,lodo,no,moluscos,arrecife,sí,8.440560664567823,rojo,dulce,sonar,masculino,3,no amenazado,3,no,algas
Tiburón Blanco,44.620588471483885,168.21778404390358,2022-08-23,104.67588548479897,8.02619615732593,71.21639455373959,10.403899235277077,33.499555527157845,5.170449647221995,0.5467242155051573,arena,sí,plancton,costero,no,3.0140299300579088,rojo,salada,visual,indeterminado,10,no amenazado,3,sí,peces pequeños
Salmón,-41.72659365654782,140.6852473452147,2023-01-09,180.66239035273483,30.560024626100727,129.9661651940594,20.63749665753764,39.790531642145766,2.869302822157156,0.8062839501497508,roca,no,moluscos,profundo,sí,11.226178912266581,amarillo,dulce,sonar,indeterminado,29,en peligro,2,no,algas
Tiburón Blanco,9.768350253375615,60.13908117721604,2023-02-25,54.536481715026085,11.53597744804939,319.16187792643126,28.519449438520702,38.671924047767284,2.756253815032286,0.47113123887601804,roca,sí,moluscos,costero,sí,14.344180312474153,rojo,dulce,red,masculino,19,crítico,3,no,algas
Tiburón Blanco,37.76677629335158,128.42048580156796,2023-06-14,71.8166021823408,35.47695206424737,456.05924482243927,19.452811279221805,30.4720813644969,5.932256110377379,0.9352781576650369,coral,no,plancton,pelágico,sí,1.9643112325232353,rojo,salada,sonar,femenino,27,no amenazado,5,no,crustáceos
Salmón,-42.02302022498061,-149.32640487908296,2023-04-01,173.53786304927695,6.1666160471429645,445.87295443835404,25.982621094372135,30.46866550275467,8.334035567487696,1.6191404152139994,roca,sí,moluscos,costero,no,24.461599785807895,amarillo,salobre,red,masculino,6,en peligro,6,no,plancton
Salmón,5.389338841601287,-44.23430057333303,2022-10-06,81.06612996089277,17.31197325905248,180.23388421367866,19.135138713863938,38.188410345589176,2.3830264657545817,2.7914220763925495,lodo,sí,peces pequeños,arrecife,sí,12.683792689143411,amarillo,dulce,visual,masculino,6,crítico,3,sí,peces pequeños
Bacalao,32.42898755244522,-175.286701548415,2023-07-05,193.23441235814855,38.76779479037021,415.50598155050875,21.86503234402835,30.70372024118497,3.3466175404765206,1.2500869291783812,arena,sí,peces pequeños,arrecife,sí,16.509973469803537,verde,dulce,visual,femenino,36,vulnerable,6,sí,peces pequeños
Pez Espada,48.632470864579574,-116.10999422605786,2023-06-03,68.40564976343742,41.63633545452754,256.1326611066488,19.194416132996302,38.51734493322499,6.708936932585158,2.964889370262975,coral,sí,plancton,profundo,no,6.988302802210795,gris,salada,red,indeterminado,32,no amenazado,2,sí,moluscos
Tiburón Blanco,22.43274008140213,46.977325632864705,2022-11-15,99.585815905744,17.589418290651114,232.70704373808286,19.384093738057732,39.24620766695604,2.683653580115397,1.2577850361109224,arena,no,peces pequeños,costero,no,15.18764469054222,verde,dulce,red,femenino,1,crítico,2,sí,moluscos
Pez Payaso,-22.166562453670636,138.80218454412005,2023-01-04,37.20978905469335,10.732636544145976,176.09268132360904,23.48125231981541,30.23837121031287,9.027291848863403,1.808180022924462,lodo,sí,peces pequeños,costero,sí,12.2340698035074,verde,dulce,red,femenino,26,crítico,2,no,algas
Bacalao,19.957032984540945,47.800911597046365,2022-12-01,198.5916431537483,47.930893127630014,339.42319428798584,14.906109695013726,32.200068147338165,6.024788275895607,2.8978228607777643,roca,sí,moluscos,costero,no,21.468570829064262,gris,dulce,sonar,masculino,29,crítico,3,no,moluscos
Bacalao,20.576676930763938,59.089718523084,2022-08-21,180.22556807761148,38.17326171018984,300.19920896648733,27.599942358984546,30.23189931512328,5.094688202830278,1.8446042907501548,coral,sí,peces pequeños,pelágico,sí,5.80086287792003,gris,salada,visual,femenino,26,crítico,2,sí,peces pequeños
Pez Espada,19.996601210461733,-142.6242221077673,2022-10-13,167.16120551770246,40.44943474697875,187.95725393340487,26.587321211818722,30.728332182867295,2.105857348952626,1.2220132426753272,coral,sí,crustáceos,profundo,no,0.576648615954796,verde,salobre,visual,indeterminado,48,vulnerable,2,sí,plancton
Pez Espada,35.426043709310576,59.34977672881675,2023-01-20,48.321644700969316,11.52620666915615,381.6562553809302,23.13285648247672,35.340726879196595,2.9039049765097413,1.624035319714507,lodo,sí,plancton,costero,no,4.907130238109269,gris,salobre,visual,indeterminado,45,no amenazado,5,no,crustáceos
Tiburón Blanco,-41.261993748050905,-16.435181747091264,2023-04-27,194.48445041262445,21.509713077773558,190.29339491772672,23.585654808957376,37.30164002638342,8.620862235169762,1.6769063804122053,arena,sí,crustáceos,pelágico,no,6.0237039317325305,azul,salada,red,femenino,34,vulnerable,2,no,crustáceos
Bacalao,-39.15801545845666,54.51848336945642,2022-11-25,187.2472314223864,3.8763321964120965,292.60925988035785,15.331020210749223,34.794737115176034,7.5917058607422145,0.40465402752627644,coral,sí,moluscos,arrecife,sí,11.263162219432596,azul,dulce,visual,masculino,24,no amenazado,3,sí,algas
Bacalao,14.0617124225558,-62.57768056926214,2022-09-18,98.42085955955348,5.915274666881509,196.7990721348534,25.81316189181697,33.85944771984561,2.163084815436042,1.273478039399054,coral,sí,moluscos,profundo,no,9.727164583692124,verde,salada,red,masculino,35,crítico,5,no,moluscos
